"Banner Slider","Banner Slider"
"Add Slider image","Add Slider image"
"Banner Title","Banner Title"
"Banner Image","Banner Image"
"Sort Order","Sort Order"
"Status","Status"
"Action","Action"
"Edit","Edit"
"Banner Information","Banner Information"
"Edit banner","Edit banner"
"Delete Banner","Delete Banner"
"Save Banner","Save Banner"
"Title","Title"
"Image","Image"
"Target Url","Target Url"
"Enabled","Enabled"
"Disabled","Disabled"
"General Settings","General Settings"
"Slider Image have been deleted successfully","Slider Image have been deleted successfully"
"Please select item(s)","Please select item(s)"
"Unable to save Slider Image","Unable to save Slider Image"
"Slider Image have been saved successfully","Slider Image have been saved successfully"
"Item does not exist","Item does not exist"
"Banner Sliders","Banner Sliders"
"Total of %d record(s) were updated successfully","Total of %d record(s) were updated successfully"
"Total of %d record(s) were deleted successfully","Total of %d record(s) were deleted successfully"
