"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","meta_title","meta_description","image","small_image","thumbnail","custom_design","page_layout","options_container","gift_message_available","image_label","small_image_label","thumbnail_label","url_path","banner","compare_product_id","seller_shipping_option","default_country","seller_id","price","special_price","weight","msrp","status","visibility","reqcoupon_status","tax_class_id","is_recurring","national_shipping_price","international_shipping_price","color","manufacturer","size","shoe_size","description","short_description","meta_keyword","custom_layout_update","group_id","is_assign_product","assign_product_id","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","trousers","mobiles","productstatus","config_assign_simple_id","apptha_product_video_url","minimal_price","old_id","recurring_profile","brand","samples_title","links_title","cost","links_purchased_separately","links_exist","country"
"admin","base","Default","simple","3,5","fast","0","Casual Black Watch for Men","fastrack-men-casual-black-watches","India","Use config","Use config","","","/8/1/81vvo1z3evl._ul1500_.jpg","/8/1/81vvo1z3evl._ul1500_.jpg","/8/1/81vvo1z3evl._ul1500_.jpg","","No layout updates","Block after Info Column","No","","","","fastrack-men-casual-black-watches.html","no_selection","2,3,4,5","Shipping Cost","India","594","100.0000","80.0000","600.0000","","Disabled","Catalog","Yes","None","No","5","10","","","","","Inspired by the cheeky quotes on statement tees, this fastrack watch refuses to conform, with its sassy dial. Minimalist design, classic round face, and a steel strap give it a modern feel backed up by a steel case for optimal performance. Wear this with trendy, casual ensembles - colour-pop tees, denims and sports shoes.
<br><br>
Your selection of timepieces describes the attitude you are wearing! So be choosy while picking them.
You can pick this Yepme chrono to make your usual look more catchy and to embrace style with no efforts. Buy the same and try with Yepme premium shirts and well fitted trousers.

It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).","Inspired by the cheeky quotes on statement tees, this fastrack watch refuses to conform, with its sassy dial. Minimalist design, classic round face, and a steel strap give it a modern feel backed up by a steel case for optimal performance. Wear this with trendy, casual ensembles - colour-pop tees, denims and sports shoes.","","","4","","","2014-04-21 00:00:00","","","","","","9931.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Casual Black Watch for Men","0","simple","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,4","titan","0","Seiko 5 Automatic Gents Sports Watch","automatic-gents-watch","India","Use config","Use config","","","/k/2/k2.jpg","/k/2/k2.jpg","/k/2/k2.jpg","","No layout updates","Block after Info Column","No","","","","automatic-gents-watch.html","no_selection","1,3,4,5,16","Free","Denmark","594","400.0000","350.0000","400.0000","","Disabled","Catalog, Search","Yes","None","No","","","Black","","M","","<p>Titan Automatic 9367 KM01 Gents Watch has epitomizes style and impeccable technology, titan gents watch is explicitly designed to suit distinct taste, Titan titan-automatic watch price is enticing and makes a good buy. <br /><br /> Brand: Seiko Collection: Seiko 5 Movement: Automatic Designed for: Men Watch Type: Sport Case Material: Stainless Steel Band Material: Rubber Band Type: Strap Clasp Type: Dial Color: Black Water Resistance: 100m Crystal Type: Hardlex Extras: Luminous hands Day of week display Date display</p>
<ul>
<li><span>Item Weight:&nbsp;</span>86 g</li>
<li><span>Boxed-product Weight:</span>&nbsp;249 g</li>
<li><span>Delivery Destinations:</span>&nbsp;Visit the&nbsp;Help page to see where this item can be delivered</li>
<li><span>Item model number:</span>&nbsp;SNZB23J2</li>
</ul>","Titan Automatic 9367 KM01 Gents Watch has epitomizes style and impeccable technology, titan gents watch is explicitly designed to suit distinct taste, Titan titan-automatic watch price is enticing and makes a good buy.","","","4","0","","2014-04-21 00:00:00","2028-04-16 00:00:00","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2016-01-23 11:20:21","","1","0","1","1","1","0.0000","1","0","0","1","1","Seiko 5 Automatic Gents Sports Watch","0","simple","","","","","No","","https://www.youtube.com/watch?v=0wIfk791Pvw","","","","","","","","","",""
"admin","base","Default","simple","3,4","OCTANE","0","Women's Hollow Butterfly Analog Quartz Wrist Watch","hollow-pu","India","Use config","Use config","","","/w/o/women_hollow_pu_analog_quartz_wrist_watch.jpg","/w/o/women_hollow_pu_analog_quartz_wrist_watch.jpg","/w/o/women_hollow_pu_analog_quartz_wrist_watch.jpg","","No layout updates","Block after Info Column","No","","","","hollow-pu.html","no_selection","1,2,4,5,16","Free","India","594","75.0000","60.0000","500.0000","","Disabled","Catalog, Search","Yes","None","No","","","","","","","Titan watches bring forth a versatile and stylish model, Titan Octane NB9322SL02 mens wrist watch. Its feature includes brass case, leather strap, water resistance and chronograph functioNBlity, making it a popular choice in mens watches. Titan Octane NB9322SL02 comes with 2 years company warranty and is available with free shipping. Delivery options accessible all throughout India with a short duration period. IndiaRush also provides various payment methods as pertaining to your need.
<br><br>
Designed exclusively for women  this stylishly crafted watch from the house of Joker & Witch will mesmerize you beyond imagination. Featuring an impeccable design  this watch is an epitome of class and elegance.It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).","Women's Hollow PU Analog Quartz Wrist Watch (Assorted Colors)-wat001491","","","4","","","2014-04-21 00:00:00","2015-12-26 00:00:00","","","","","34381.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Women's Hollow Butterfly Analog Quartz Wrist Watch","0","simple","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,5","sded","0","Sonata Series Men Black Digital Watch","n3026sl04"," ","Use config","Use config","","","/7/7/77013pp02.jpg","/7/7/77013pp02.jpg","/7/7/77013pp02.jpg","","No layout updates","Block after Info Column","No","","","","n3026sl04.html","no_selection","1,2,3,5,16","Shipping Cost","India","41","600.0000","550.0000","520.0000","","Disabled","Catalog, Search","Yes","None","No","5","10","","","",""," Its feature includes brass case, leather strap, water resistance and chronograph functioNBlity, making it a popular choice in mens watches. Titan Octane NB9322SL02 comes with 2 years company warranty and is available with free shipping. Delivery options accessible all throughout India with a short duration period. IndiaRush also provides various payment methods as pertaining to your need.
<br><br>
It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).","Sonata presents this black coloured digital watch, which will make you look cool and trendy. This digital watch will perfectly complement your casuals. The stainless steel dial and resin strap make this watch durable and sturdy.","","","4","","","2014-04-21 00:00:00","","","","","","218.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Sonata Series Men Black Digital Watch","0","simple","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,4,31,33,36,37,39,40,42,44,45"," NA9325SM02","0","Daniel Klein Dk10587-6 Brown/Blue Analog Watch","na9325sm02"," ","Use config","Use config","","","/8/1/81xwsm_4bhl._ul1500_.jpg","/8/1/81xwsm_4bhl._ul1500_.jpg","/8/1/81xwsm_4bhl._ul1500_.jpg","","No layout updates","Block after Info Column","No","","","","na9325sm02.html","no_selection","1,2,3,4,16","Shipping Cost"," ","594","50.0000","","757.0000","","Disabled","Catalog, Search","Yes","None","No","5","10","","","","","<p>Inspired by the cheeky quotes on statement tees, this Daniel Klein watch refuses to conform, with its sassy dial. Minimalist design, classic round face, and a steel strap give it a modern feel backed up by a steel case for optimal performance. Wear this with trendy, casual ensembles - colour-pop tees, denims and sports shoes. <br /><br /><span>It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).</span></p>","<div><span style=""line-height: 1.5;"">Look smart and classy by wearing this brown&nbsp;</span>colored<span style=""line-height: 1.5;"">&nbsp;analog watch for men from Daniel Klein. This watch has a round dial&nbsp;and a leather strap. You can team this watch with casuals of your choice to look stylish. This watch is water resistant up to 10m.</span><br></div>","","","4","0","","","","","","","","228.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","1","0","0","1","0.0000","1","0","0","0","1","Daniel Klein Dk10587-6 Brown/Blue Analog Watch","0","simple","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","5,31,32,33,37,38,39,40,45","5Timex36265442148","0","Diesel The Daddie Tan/Blue Analog Watch","timex-expedition-analog-digital"," ","Use config","Use config","watch","watch","/s/-/s-l300.jpg","/s/-/s-l300.jpg","/s/-/s-l300.jpg","","No layout updates","Block after Info Column","No","","","","timex-expedition-analog-digital.html","no_selection","","Free"," ","594","2999.0000","","5.0000","","Disabled","Catalog, Search","No","None","No","","","","","","","<p>From the highly revered and reputed Expedition series of sports and adventure timepieces from Diesel.&nbsp;This watch has a water resistance of 10m.</p>
<p><span>It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).</span></p>","Look chic and stylish by wearing this brown coloured analog watch for men from Diesel. Made from leather, this watch has a stylised round dial. You can team this watch with casuals of your choice to look smart. This watch has a water resistance of 10m.","watch,time","","4","0","","","","","","","","16.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Diesel The Daddie Tan/Blue Analog Watch","0","simple","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","8,10,46,47,48,49,53,54,55,56,57,58,59,60,62,63,65,66,68,69","5Smart71687463718","0","Karbonn Smart A26 (White-Silver) ","smart-a26"," ","Use config","Use config","","","/5/1/51b9ujdjk0l.jpg","/5/1/51b9ujdjk0l.jpg","/5/1/51b9ujdjk0l.jpg","","No layout updates","Block after Info Column","No","","","","smart-a26.html","no_selection","","Free"," ","594","800.0000","650.0000","12.0000","","Disabled","Catalog, Search","No","None","No","","","White","","","","A smartphone crafted lovingly for those who truly love being the people that they are, the Galaxy Trend from Samsung is a device that lets you taste the effectiveness of Android and large screen entertainment.
<br><br>
<h4>Key Features</h4>
<ul>
<li>5-inch Capacitive Touchscreen</li>
<li>Wi-Fi Enabled</li>
<li>1 GHz Dual Core Processor</li>
<li>Expandable Storage Capacity of 32 GB</li>
<li>Android v4.1.2 (Jelly Bean) OS</li>
<li>5 MP Primary Camera</li>
</ul>
<br>
<h4>Specifications</h4>
<table><tr><td style=""width: 148px; background:none repeat scroll 0 0 #F7F7F7; border-bottom: 1px dotted;""></td><td  style=""width:10px; border-bottom: 1px dotted;""><b></b></td><td  style="" border-bottom: 1px dotted;""> </td></tr>
<tr><td style=""width: 148px; background:none repeat scroll 0 0 #F7F7F7; border-bottom: 1px dotted;"">
Band Colour
</td><td  style=""width:10px; border-bottom: 1px dotted;""><b>:</b></td><td  style="" border-bottom: 1px dotted;width: 148px;"">
White Silver
 </td></tr>
<tr><td style=""width: 148px; background:none repeat scroll 0 0 #F7F7F7; border-bottom: 1px dotted;"">
Band Material
</td><td  style=""width:10px; border-bottom: 1px dotted;""><b>:</b></td><td  style="" border-bottom: 1px dotted;width: 148px;"">
Silver
 </td></tr>
<tr><td style=""width: 148px; background:none repeat scroll 0 0 #F7F7F7; border-bottom: 1px dotted;"">
Band Width
</td><td  style=""width:10px; border-bottom: 1px dotted;""><b>:</b></td><td  style="" border-bottom: 1px dotted;width: 148px;"">
5 Inches
</td></tr>
<tr><td style=""width: 148px; background:none repeat scroll 0 0 #F7F7F7; border-bottom: 1px dotted;"">
Item Weight
</td><td  style=""width:10px; border-bottom: 1px dotted;""><b>:</b></td><td  style="" border-bottom: 1px dotted;width: 148px;"">
1Kg
</td></tr>
<tr><td style=""width: 148px; background:none repeat scroll 0 0 #F7F7F7; border-bottom: 1px dotted;"">
Warranty Type
</td><td  style=""width:10px; border-bottom: 1px dotted;""><b>:</b></td><td  style="" border-bottom: 1px dotted;width: 148px;"">
3 Years
</td></tr>
<tr><td style=""width: 148px; background:none repeat scroll 0 0 #F7F7F7; border-bottom: 1px dotted;"">
Band
</td><td  style=""width:10px; border-bottom: 1px dotted;""><b>:</b></td><td  style="" border-bottom: 1px dotted;width: 148px;""> 
Karbonn
</td></tr>
</table>

","A smartphone crafted lovingly for those who truly love being the people that they are, the Galaxy Trend from Samsung is a device that lets you taste the effectiveness of Android and large screen entertainment.","","","4","","","2014-04-21 00:00:00","","2013-11-13 00:00:00","","","","402.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Karbonn Smart A26 (White-Silver) ","0","simple","","","","16GB","","","","","","","","","","","","",""
"admin","base","Default","simple","8,9,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69","5HTC D96743561142","0","HTC Desire 500","htc-desire-500"," ","Use config","Use config","","","/d/e/desire-500-blue-perspective-right.jpg","/d/e/desire-500-blue-perspective-right.jpg","/d/e/desire-500-blue-perspective-right.jpg","","No layout updates","Block after Info Column","No","","","","htc-desire-500.html","no_selection","","Free"," ","594","15999.0000","14000.0000","12.0000","13000.0000","Disabled","Catalog, Search","No","None","No","","","Black","","",""," Always on and sensitive to your needs, the phone is one that brings together fine design packaging finer performance."," Always on and sensitive to your needs, the phone is one that brings together fine design packaging finer performance.","","","4","","","2014-09-11 00:00:00","2014-09-30 00:00:00","2013-11-13 00:00:00","","","","440.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","HTC Desire 500","0","simple","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","8,9,46,47,48,49,51,52,53,54,55,56,57,58,59,60,61,63,64,65,66,67,68,69","23HTC O84682378267","0","HTC One Mini","htc-one-mini"," ","Use config","Use config","","","/h/t/htc-htc-one-mini-601e-400x400-imadtgbuzykgebsr.jpeg","/h/t/htc-htc-one-mini-601e-400x400-imadtgbuzykgebsr.jpeg","/h/t/htc-htc-one-mini-601e-400x400-imadtgbuzykgebsr.jpeg","","No layout updates","Block after Info Column","No","","","","htc-one-mini.html","no_selection","","Free"," ","594","34000.0000","33000.0000","23.0000","","Disabled","Catalog, Search","No","None","No","","","","","","","One smartphone that quenches your thirst for beautiful design that ensures that eyes go wide with performance that is off the charts, all in a package that fits in your palm – the HTC One Mini.'Dummy text is text that is used in' the pub'lishing industry or by web designers to occupy the space which will later be filled with 'real' content. This is required when, for example, the final text is not yet!@#$%^&*()<>:"":?=-0,./';[]= available. Dummy text is also known as 'fill text'. It is said that song composers of the past used dummy texts as lyrics when writing melodies in order to have a 'ready-made' text to sing with the melody. Dummy texts have been in use by typesetters since the 16th century.'  'Dummy text is text that is used in' the pub'lishing industry or by web designers to occupy the space which will later be filled with 'real' content. This is required when, for example, the final text is not yet!@#$%^&*()<>:"":?=-0,./';[]= available. Dummy text is also known as 'fill text'. It is said that song composers of the past used dummy texts as lyrics when writing melodies in order to have a 'ready-made' text to sing with the melody. Dummy texts have been in use by typesetters since the 16th century.'","One smartphone that quenches your thirst for beautiful design that ensures that eyes go wide with performance that is off the charts, all in a package that fits in your palm – the HTC One Mini.","","","4","","","2013-11-04 00:00:00","2013-11-21 00:00:00","","","","","4965.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","HTC One Mini","0","simple","","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","8,10,46,47,48,49,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69","23Samsu2060002648","0","Samsung Galaxy Trend S7392","samsung-galaxy-trend-s7392"," ","Use config","Use config","","","/s/a/samsung-galaxy-trend-s7392.jpg","/s/a/samsung-galaxy-trend-s7392.jpg","/s/a/samsung-galaxy-trend-s7392.jpg","","No layout updates","Block after Info Column","No","","","","samsung-galaxy-trend-s7392.html","no_selection","","Free"," ","594","6999.0000","","11.0000","","Disabled","Catalog, Search","No","None","No","","","","","","","A smartphone crafted lovingly for those who truly love being the people that they are, the Galaxy Trend from Samsung is a device that lets you taste the effectiveness of Android and large screen entertainment.","A smartphone crafted lovingly for those who truly love being the people that they are, the Galaxy Trend from Samsung is a device that lets you taste the effectiveness of Android and large screen entertainment.","","","4","","","","","2013-11-13 00:00:00","","","","957.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Samsung Galaxy Trend S7392","0","simple","","","","","","","","","","","","","","","","",""
